epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08903,0.94872,2.11921,1.48409,0.88304,0.61538,0.86323,0.56302,0.73837,2.42413,1.65123,0.000653595,0.000653595,0.000653595
2,9.85354,0.87265,1.52051,1.46538,0.81914,0.92918,0.95865,0.66858,0.84854,3.29528,1.79939,0.00131155,0.00131155,0.00131155
3,14.8064,0.94697,1.51041,1.48562,0.77183,0.86744,0.85347,0.44216,1.64237,2.22101,2.82347,0.0019607,0.0019607,0.0019607
4,19.5044,1.01751,1.44172,1.52429,0.78772,0.97436,0.89033,0.57012,1.02536,1.98429,2.09854,0.0019604,0.0019604,0.0019604
5,24.2662,0.95075,1.27875,1.46145,0.69712,0.88537,0.83387,0.52455,1.29292,2.09348,2.17261,0.0019472,0.0019472,0.0019472
6,28.9095,1.10569,1.42465,1.64545,0.31444,0.47053,0.42462,0.20912,1.48978,2.65399,2.76003,0.001934,0.001934,0.001934
7,33.6122,1.16929,1.59025,1.65485,0.85957,0.94178,0.93817,0.56173,1.14038,1.7312,2.04847,0.0019208,0.0019208,0.0019208
8,38.4205,1.07035,1.40462,1.65009,0.94044,0.92308,0.97479,0.6524,1.12643,2.07679,2.11685,0.0019076,0.0019076,0.0019076
9,42.8247,0.92593,1.26827,1.4658,0.90457,0.97221,0.96693,0.62996,1.15889,1.82017,2.26668,0.0018944,0.0018944,0.0018944
10,47.3161,0.98831,1.23601,1.50949,0.68353,0.79487,0.80403,0.48443,1.20228,1.75027,1.99925,0.0018812,0.0018812,0.0018812
11,51.8408,0.95774,1.21323,1.50834,0.92538,0.89744,0.9699,0.65046,1.01949,1.25782,1.98654,0.001868,0.001868,0.001868
12,56.4086,0.98336,1.15237,1.46494,0.849,0.97436,0.91432,0.61019,1.04362,1.6255,1.97001,0.0018548,0.0018548,0.0018548
13,60.8391,0.8428,1.0379,1.36845,0.93939,1,0.97969,0.70495,0.93989,1.19364,1.86286,0.0018416,0.0018416,0.0018416
14,65.3133,0.85785,1.01763,1.40725,0.97479,0.99177,0.98475,0.72876,0.91005,1.05127,1.92322,0.0018284,0.0018284,0.0018284
15,69.6914,0.81815,0.99408,1.35802,0.87584,0.90449,0.95455,0.58327,1.20212,1.47722,2.09981,0.0018152,0.0018152,0.0018152
16,74.0898,0.86426,1.10495,1.42075,0.96385,0.97436,0.9761,0.643,1.16655,1.13993,2.16437,0.001802,0.001802,0.001802
17,78.4576,0.85861,1.01394,1.37921,0.96839,0.97436,0.99152,0.74539,0.8908,0.90696,1.74771,0.0017888,0.0017888,0.0017888
18,82.7959,0.81044,0.92564,1.34896,0.9993,1,0.995,0.76536,0.853,0.97914,1.70114,0.0017756,0.0017756,0.0017756
19,87.1796,0.75279,0.85389,1.27954,0.96955,1,0.9925,0.76084,0.8555,0.88571,1.8024,0.0017624,0.0017624,0.0017624
20,91.5247,0.81672,0.89157,1.34419,0.94346,1,0.99326,0.7128,0.8995,0.89864,1.84616,0.0017492,0.0017492,0.0017492
21,95.8671,0.81687,0.99058,1.35204,0.87683,0.97436,0.94841,0.65406,1.07095,1.18668,2.21793,0.001736,0.001736,0.001736
22,100.205,0.77616,0.89049,1.33846,1,0.99854,0.995,0.71696,0.97177,0.84391,1.94264,0.0017228,0.0017228,0.0017228
23,104.621,0.8425,0.91785,1.38903,0.99208,1,0.995,0.73902,0.84592,0.82601,1.7237,0.0017096,0.0017096,0.0017096
24,109.058,0.78108,0.81585,1.35204,0.9935,0.97436,0.99357,0.77232,0.83457,0.85382,1.7406,0.0016964,0.0016964,0.0016964
25,113.537,0.7973,0.83787,1.33834,0.99801,0.97436,0.99357,0.75899,0.83547,0.76973,1.73074,0.0016832,0.0016832,0.0016832
26,117.937,0.71952,0.75786,1.31789,1,0.97394,0.99357,0.71098,0.92716,0.86596,1.77911,0.00167,0.00167,0.00167
27,122.441,0.80106,0.81686,1.32518,1,0.96249,0.99357,0.75313,0.86469,0.74056,1.81692,0.0016568,0.0016568,0.0016568
28,126.932,0.72366,0.78626,1.31237,0.97165,0.97436,0.9928,0.77737,0.80238,0.74329,1.68377,0.0016436,0.0016436,0.0016436
29,131.399,0.75906,0.77949,1.31263,0.99729,1,0.995,0.7314,0.8756,0.76365,1.71336,0.0016304,0.0016304,0.0016304
30,135.851,0.71886,0.73798,1.2768,0.99975,0.97436,0.99273,0.73398,0.93864,0.75826,1.78542,0.0016172,0.0016172,0.0016172
31,140.347,0.71394,0.68191,1.25691,0.99616,0.97436,0.9945,0.80718,0.81877,0.67271,1.66047,0.001604,0.001604,0.001604
32,144.936,0.77506,0.74308,1.3644,0.97433,0.97333,0.99119,0.79026,0.79159,0.7808,1.57041,0.0015908,0.0015908,0.0015908
33,149.407,0.80033,0.74812,1.34777,1,0.97374,0.99402,0.76016,0.80553,0.70934,1.60089,0.0015776,0.0015776,0.0015776
34,153.812,0.80876,0.74412,1.36356,0.91989,0.92308,0.94775,0.67686,1.05426,1.06311,1.91798,0.0015644,0.0015644,0.0015644
35,158.158,0.80181,0.72239,1.35544,0.9624,0.92308,0.97635,0.70554,0.93303,0.82941,1.71806,0.0015512,0.0015512,0.0015512
36,162.527,0.69173,0.673,1.26157,0.92817,0.92308,0.97943,0.75572,0.80755,0.79306,1.64295,0.001538,0.001538,0.001538
37,166.956,0.795,0.73514,1.31571,0.99499,0.94872,0.99053,0.73219,0.94295,0.79897,1.8818,0.0015248,0.0015248,0.0015248
38,171.367,0.72398,0.66985,1.31034,1,0.97259,0.99402,0.75258,0.83736,0.74089,1.72407,0.0015116,0.0015116,0.0015116
39,175.802,0.71466,0.67033,1.27657,0.99477,0.92308,0.9869,0.7822,0.77493,0.67206,1.6229,0.0014984,0.0014984,0.0014984
